date,is_weekend,is_holiday,admin_type,district,population,area_km2,vehicle_count,temperature,rainfall,humidity,air_quality,special_event,traffic_congestion_level
01/01/2022,TRUE,TRUE,Quận,Ba Đình,221893,92,45195,261,84,75,102,1,80
01/01/2022,TRUE,TRUE,Quận,Hoàn Kiếm,135618,53,136048,263,74,82,80,1,71
01/01/2022,TRUE,TRUE,Quận,Hai Bà Trưng,303586,101,309413,268,83,74,95,1,78
01/01/2022,TRUE,TRUE,Quận,Đống Đa,371606,99,375571,27,84,68,146,1,73
01/01/2022,TRUE,TRUE,Quận,Tây Hồ,160495,244,291577,254,85,74,105,1,53
01/01/2022,TRUE,TRUE,Quận,Cầu Giấy,292536,123,299004,273,65,82,94,1,93
01/01/2022,TRUE,TRUE,Quận,Thanh Xuân,293524,91,294969,276,74,68,88,1,75
01/01/2022,TRUE,TRUE,Quận,Hoàng Mai,506347,403,511360,261,63,77,125,1,72
01/01/2022,TRUE,TRUE,Quận,Long Biên,322549,599,328753,261,85,84,81,1,74
01/01/2022,TRUE,TRUE,Quận,Nam Từ Liêm,264246,322,264271,263,81,81,147,1,56
01/01/2022,TRUE,TRUE,Quận,Bắc Từ Liêm,335110,453,340103,254,70,81,120,1,71
01/01/2022,TRUE,TRUE,Quận,Hà Đông,397854,483,400115,255,86,71,120,1,63
01/01/2022,TRUE,TRUE,Huyện,Thanh Trì,275745,63,284468,257,71,83,106,1,41
01/01/2022,TRUE,TRUE,Huyện,Gia Lâm,286102,115,288986,247,79,84,110,1,48
01/01/2022,TRUE,TRUE,Huyện,Đông Anh,405749,182,405791,249,87,74,142,1,55
01/01/2022,TRUE,TRUE,Huyện,Sóc Sơn,343432,306,345200,264,71,83,100,1,19
01/01/2022,TRUE,TRUE,Huyện,Ba Vì,424030,424,434621,252,63,71,125,1,42
01/01/2022,TRUE,TRUE,Huyện,Phúc Thọ,117190,117,119023,254,71,74,125,1,47
01/01/2022,TRUE,TRUE,Huyện,Thạch Thất,184590,184,188909,239,63,83,113,1,24
01/01/2022,TRUE,TRUE,Huyện,Quốc Oai,147910,148,152680,259,68,76,118,1,45
01/01/2022,TRUE,TRUE,Huyện,Chương Mỹ,232410,232,234442,244,64,69,129,1,30
01/01/2022,TRUE,TRUE,Huyện,Đan Phượng,77350,77,79034,259,75,65,123,1,38
01/01/2022,TRUE,TRUE,Huyện,Hoài Đức,82470,82,82919,251,78,72,85,1,67
01/01/2022,TRUE,TRUE,Huyện,Mỹ Đức,226200,226,229084,255,74,81,128,1,20
01/01/2022,TRUE,TRUE,Huyện,Ứng Hòa,183750,184,184233,253,81,82,103,1,50
01/01/2022,TRUE,TRUE,Huyện,Thường Tín,127390,127,128202,252,87,69,80,1,17
01/01/2022,TRUE,TRUE,Huyện,Phú Xuyên,171100,171,178791,255,67,73,120,1,35
01/01/2022,TRUE,TRUE,Huyện,Mê Linh,240555,142,243464,273,84,72,88,1,47
01/01/2022,TRUE,TRUE,Huyện,Sơn Tây,145856,113,146957,257,64,84,107,1,21
02/01/2022,FALSE,FALSE,Quận,Ba Đình,221893,92,45195,261,137,80,112,0,80
02/01/2022,FALSE,FALSE,Quận,Hoàn Kiếm,135618,53,136048,263,125,79,130,0,71
02/01/2022,FALSE,FALSE,Quận,Hai Bà Trưng,303586,101,309413,268,179,70,94,0,78
02/01/2022,FALSE,FALSE,Quận,Đống Đa,371606,99,375571,27,124,75,149,0,73
02/01/2022,FALSE,FALSE,Quận,Tây Hồ,160495,244,291577,254,144,67,109,0,53
02/01/2022,FALSE,FALSE,Quận,Cầu Giấy,292536,123,299004,273,159,67,95,0,93
02/01/2022,FALSE,FALSE,Quận,Thanh Xuân,293524,91,294969,276,155,65,115,0,75
02/01/2022,FALSE,FALSE,Quận,Hoàng Mai,506347,403,511360,261,122,75,121,2,72
02/01/2022,FALSE,FALSE,Quận,Long Biên,322549,599,328753,261,159,80,120,0,74
02/01/2022,FALSE,FALSE,Quận,Nam Từ Liêm,264246,322,264271,263,177,67,128,0,56
02/01/2022,FALSE,FALSE,Quận,Bắc Từ Liêm,335110,453,340103,254,170,71,86,0,71
02/01/2022,FALSE,FALSE,Quận,Hà Đông,397854,483,400115,255,138,80,129,0,63
02/01/2022,FALSE,FALSE,Huyện,Thanh Trì,275745,63,284468,257,162,84,112,0,41
02/01/2022,FALSE,FALSE,Huyện,Gia Lâm,286102,115,288986,247,177,70,145,0,48
02/01/2022,FALSE,FALSE,Huyện,Đông Anh,405749,182,405791,249,124,84,140,0,55
02/01/2022,FALSE,FALSE,Huyện,Sóc Sơn,343432,306,345200,264,165,83,110,0,19
02/01/2022,FALSE,FALSE,Huyện,Ba Vì,424030,424,434621,252,128,82,119,0,42
02/01/2022,FALSE,FALSE,Huyện,Phúc Thọ,117190,117,119023,254,165,75,127,0,47
02/01/2022,FALSE,FALSE,Huyện,Thạch Thất,184590,184,188909,239,137,71,131,0,24
02/01/2022,FALSE,FALSE,Huyện,Quốc Oai,147910,148,152680,259,125,65,105,0,45
02/01/2022,FALSE,FALSE,Huyện,Chương Mỹ,232410,232,234442,244,141,81,106,0,30
02/01/2022,FALSE,FALSE,Huyện,Đan Phượng,77350,77,79034,259,146,78,96,0,38
02/01/2022,FALSE,FALSE,Huyện,Hoài Đức,82470,82,82919,251,149,81,123,0,67
02/01/2022,FALSE,FALSE,Huyện,Mỹ Đức,226200,226,229084,255,134,83,116,0,20
02/01/2022,FALSE,FALSE,Huyện,Ứng Hòa,183750,184,184233,253,139,75,88,3,50
02/01/2022,FALSE,FALSE,Huyện,Thường Tín,127390,127,128202,252,130,71,139,0,17
02/01/2022,FALSE,FALSE,Huyện,Phú Xuyên,171100,171,178791,255,133,81,114,0,35
02/01/2022,FALSE,FALSE,Huyện,Mê Linh,240555,142,243464,273,158,72,101,0,47
02/01/2022,FALSE,FALSE,Huyện,Sơn Tây,145856,113,146957,257,152,82,85,0,21
03/01/2022,FALSE,FALSE,Quận,Ba Đình,221893,92,45195,261,135,80,111,0,80
03/01/2022,FALSE,FALSE,Quận,Hoàn Kiếm,135618,53,136048,263,122,81,99,0,71
03/01/2022,FALSE,FALSE,Quận,Hai Bà Trưng,303586,101,309413,268,161,83,116,0,78
03/01/2022,FALSE,FALSE,Quận,Đống Đa,371606,99,375571,27,169,67,120,0,73
03/01/2022,FALSE,FALSE,Quận,Tây Hồ,160495,244,291577,254,138,82,120,0,53
03/01/2022,FALSE,FALSE,Quận,Cầu Giấy,292536,123,299004,273,170,69,136,0,93
03/01/2022,FALSE,FALSE,Quận,Thanh Xuân,293524,91,294969,276,158,78,115,0,75
03/01/2022,FALSE,FALSE,Quận,Hoàng Mai,506347,403,511360,261,177,73,84,0,72
03/01/2022,FALSE,FALSE,Quận,Long Biên,322549,599,328753,261,147,71,147,0,74
03/01/2022,FALSE,FALSE,Quận,Nam Từ Liêm,264246,322,264271,263,124,81,107,3,56
03/01/2022,FALSE,FALSE,Quận,Bắc Từ Liêm,335110,453,340103,254,180,84,142,0,71
03/01/2022,FALSE,FALSE,Quận,Hà Đông,397854,483,400115,255,162,75,129,0,63
03/01/2022,FALSE,FALSE,Huyện,Thanh Trì,275745,63,284468,257,133,65,145,4,41
03/01/2022,FALSE,FALSE,Huyện,Gia Lâm,286102,115,288986,247,136,81,102,0,48
03/01/2022,FALSE,FALSE,Huyện,Đông Anh,405749,182,405791,249,148,70,103,5,55
03/01/2022,FALSE,FALSE,Huyện,Sóc Sơn,343432,306,345200,264,124,73,139,0,19
03/01/2022,FALSE,FALSE,Huyện,Ba Vì,424030,424,434621,252,157,83,87,0,42
03/01/2022,FALSE,FALSE,Huyện,Phúc Thọ,117190,117,119023,254,155,65,149,0,47
03/01/2022,FALSE,FALSE,Huyện,Thạch Thất,184590,184,188909,239,121,74,106,0,24
03/01/2022,FALSE,FALSE,Huyện,Quốc Oai,147910,148,152680,259,172,70,141,0,45
03/01/2022,FALSE,FALSE,Huyện,Chương Mỹ,232410,232,234442,244,122,78,82,0,30
03/01/2022,FALSE,FALSE,Huyện,Đan Phượng,77350,77,79034,259,167,78,87,0,38
03/01/2022,FALSE,FALSE,Huyện,Hoài Đức,82470,82,82919,251,164,75,102,0,67
03/01/2022,FALSE,FALSE,Huyện,Mỹ Đức,226200,226,229084,255,161,84,127,0,20
03/01/2022,FALSE,FALSE,Huyện,Ứng Hòa,183750,184,184233,253,130,65,134,0,50
03/01/2022,FALSE,FALSE,Huyện,Thường Tín,127390,127,128202,252,175,79,114,0,17
03/01/2022,FALSE,FALSE,Huyện,Phú Xuyên,171100,171,178791,255,155,81,112,0,35
03/01/2022,FALSE,FALSE,Huyện,Mê Linh,240555,142,243464,273,170,77,83,0,47
03/01/2022,FALSE,FALSE,Huyện,Sơn Tây,145856,113,146957,257,123,81,149,0,21
04/01/2022,FALSE,FALSE,Quận,Ba Đình,221893,92,45195,261,125,77,86,0,80
04/01/2022,FALSE,FALSE,Quận,Hoàn Kiếm,135618,53,136048,263,124,75,118,0,71
04/01/2022,FALSE,FALSE,Quận,Hai Bà Trưng,303586,101,309413,268,162,67,87,0,78
04/01/2022,FALSE,FALSE,Quận,Đống Đa,371606,99,375571,27,149,81,143,0,73
04/01/2022,FALSE,FALSE,Quận,Tây Hồ,160495,244,291577,254,145,81,131,0,53
04/01/2022,FALSE,FALSE,Quận,Cầu Giấy,292536,123,299004,273,135,78,92,0,93
04/01/2022,FALSE,FALSE,Quận,Thanh Xuân,293524,91,294969,276,178,77,119,0,75
04/01/2022,FALSE,FALSE,Quận,Hoàng Mai,506347,403,511360,261,151,69,115,0,72
04/01/2022,FALSE,FALSE,Quận,Long Biên,322549,599,328753,261,162,71,87,6,74
04/01/2022,FALSE,FALSE,Quận,Nam Từ Liêm,264246,322,264271,263,121,80,123,4,56
04/01/2022,FALSE,FALSE,Quận,Bắc Từ Liêm,335110,453,340103,254,140,66,123,0,71
04/01/2022,FALSE,FALSE,Quận,Hà Đông,397854,483,400115,255,147,65,99,0,63
04/01/2022,FALSE,FALSE,Huyện,Thanh Trì,275745,63,284468,257,144,71,123,0,41
04/01/2022,FALSE,FALSE,Huyện,Gia Lâm,286102,115,288986,247,123,73,118,0,48
04/01/2022,FALSE,FALSE,Huyện,Đông Anh,405749,182,405791,249,166,72,124,0,55
04/01/2022,FALSE,FALSE,Huyện,Sóc Sơn,343432,306,345200,264,166,66,141,0,19
04/01/2022,FALSE,FALSE,Huyện,Ba Vì,424030,424,434621,252,176,81,93,0,42
04/01/2022,FALSE,FALSE,Huyện,Phúc Thọ,117190,117,119023,254,156,68,141,0,47
04/01/2022,FALSE,FALSE,Huyện,Thạch Thất,184590,184,188909,239,146,84,130,0,24
04/01/2022,FALSE,FALSE,Huyện,Quốc Oai,147910,148,152680,259,169,77,114,4,45
04/01/2022,FALSE,FALSE,Huyện,Chương Mỹ,232410,232,234442,244,169,68,119,0,30
04/01/2022,FALSE,FALSE,Huyện,Đan Phượng,77350,77,79034,259,153,84,118,0,38
04/01/2022,FALSE,FALSE,Huyện,Hoài Đức,82470,82,82919,251,170,77,138,0,67
04/01/2022,FALSE,FALSE,Huyện,Mỹ Đức,226200,226,229084,255,133,79,107,0,20
04/01/2022,FALSE,FALSE,Huyện,Ứng Hòa,183750,184,184233,253,137,72,97,0,50
04/01/2022,FALSE,FALSE,Huyện,Thường Tín,127390,127,128202,252,141,79,142,0,17
04/01/2022,FALSE,FALSE,Huyện,Phú Xuyên,171100,171,178791,255,167,71,109,0,35
04/01/2022,FALSE,FALSE,Huyện,Mê Linh,240555,142,243464,273,149,71,85,0,47
04/01/2022,FALSE,FALSE,Huyện,Sơn Tây,145856,113,146957,257,166,67,85,0,21
05/01/2022,FALSE,FALSE,Quận,Ba Đình,221893,92,45195,261,175,84,131,0,80
05/01/2022,FALSE,FALSE,Quận,Hoàn Kiếm,135618,53,136048,263,136,75,145,0,71
05/01/2022,FALSE,FALSE,Quận,Hai Bà Trưng,303586,101,309413,268,151,80,119,6,78
05/01/2022,FALSE,FALSE,Quận,Đống Đa,371606,99,375571,27,169,82,100,0,73
05/01/2022,FALSE,FALSE,Quận,Tây Hồ,160495,244,291577,254,179,81,139,0,53
05/01/2022,FALSE,FALSE,Quận,Cầu Giấy,292536,123,299004,273,180,72,122,0,93
05/01/2022,FALSE,FALSE,Quận,Thanh Xuân,293524,91,294969,276,144,82,85,0,75
05/01/2022,FALSE,FALSE,Quận,Hoàng Mai,506347,403,511360,261,149,80,105,0,72
05/01/2022,FALSE,FALSE,Quận,Long Biên,322549,599,328753,261,178,71,99,0,74
05/01/2022,FALSE,FALSE,Quận,Nam Từ Liêm,264246,322,264271,263,139,82,142,0,56
05/01/2022,FALSE,FALSE,Quận,Bắc Từ Liêm,335110,453,340103,254,145,65,136,0,71
05/01/2022,FALSE,FALSE,Quận,Hà Đông,397854,483,400115,255,132,66,119,0,63
05/01/2022,FALSE,FALSE,Huyện,Thanh Trì,275745,63,284468,257,128,78,99,0,41
05/01/2022,FALSE,FALSE,Huyện,Gia Lâm,286102,115,288986,247,129,74,97,4,48
05/01/2022,FALSE,FALSE,Huyện,Đông Anh,405749,182,405791,249,135,83,93,0,55
05/01/2022,FALSE,FALSE,Huyện,Sóc Sơn,343432,306,345200,264,126,67,133,0,19
05/01/2022,FALSE,FALSE,Huyện,Ba Vì,424030,424,434621,252,144,84,102,0,42
05/01/2022,FALSE,FALSE,Huyện,Phúc Thọ,117190,117,119023,254,137,76,94,0,47
05/01/2022,FALSE,FALSE,Huyện,Thạch Thất,184590,184,188909,239,157,79,148,0,24
05/01/2022,FALSE,FALSE,Huyện,Quốc Oai,147910,148,152680,259,134,80,86,0,45
05/01/2022,FALSE,FALSE,Huyện,Chương Mỹ,232410,232,234442,244,131,80,88,4,30
05/01/2022,FALSE,FALSE,Huyện,Đan Phượng,77350,77,79034,259,169,65,128,0,38
05/01/2022,FALSE,FALSE,Huyện,Hoài Đức,82470,82,82919,251,170,82,145,0,67
05/01/2022,FALSE,FALSE,Huyện,Mỹ Đức,226200,226,229084,255,126,69,92,0,20
05/01/2022,FALSE,FALSE,Huyện,Ứng Hòa,183750,184,184233,253,137,79,117,0,50
05/01/2022,FALSE,FALSE,Huyện,Thường Tín,127390,127,128202,252,128,69,118,0,17
05/01/2022,FALSE,FALSE,Huyện,Phú Xuyên,171100,171,178791,255,131,84,136,0,35
05/01/2022,FALSE,FALSE,Huyện,Mê Linh,240555,142,243464,273,165,83,126,0,47
05/01/2022,FALSE,FALSE,Huyện,Sơn Tây,145856,113,146957,257,157,83,111,0,21
06/01/2022,FALSE,FALSE,Quận,Ba Đình,221893,92,45195,261,125,72,146,0,80
06/01/2022,FALSE,FALSE,Quận,Hoàn Kiếm,135618,53,136048,263,123,66,123,0,71
06/01/2022,FALSE,FALSE,Quận,Hai Bà Trưng,303586,101,309413,268,122,76,106,0,78
06/01/2022,FALSE,FALSE,Quận,Đống Đa,371606,99,375571,27,144,69,106,0,73
06/01/2022,FALSE,FALSE,Quận,Tây Hồ,160495,244,291577,254,133,78,113,0,53
06/01/2022,FALSE,FALSE,Quận,Cầu Giấy,292536,123,299004,273,126,84,121,5,93
06/01/2022,FALSE,FALSE,Quận,Thanh Xuân,293524,91,294969,276,173,79,107,0,75
06/01/2022,FALSE,FALSE,Quận,Hoàng Mai,506347,403,511360,261,161,80,123,0,72
06/01/2022,FALSE,FALSE,Quận,Long Biên,322549,599,328753,261,140,70,132,0,74
06/01/2022,FALSE,FALSE,Quận,Nam Từ Liêm,264246,322,264271,263,172,75,99,0,56
06/01/2022,FALSE,FALSE,Quận,Bắc Từ Liêm,335110,453,340103,254,135,68,84,0,71
06/01/2022,FALSE,FALSE,Quận,Hà Đông,397854,483,400115,255,162,69,137,0,63
06/01/2022,FALSE,FALSE,Huyện,Thanh Trì,275745,63,284468,257,174,76,93,0,41
06/01/2022,FALSE,FALSE,Huyện,Gia Lâm,286102,115,288986,247,132,72,148,0,48
06/01/2022,FALSE,FALSE,Huyện,Đông Anh,405749,182,405791,249,169,76,134,0,55
06/01/2022,FALSE,FALSE,Huyện,Sóc Sơn,343432,306,345200,264,153,79,143,0,19
06/01/2022,FALSE,FALSE,Huyện,Ba Vì,424030,424,434621,252,165,74,127,0,42
06/01/2022,FALSE,FALSE,Huyện,Phúc Thọ,117190,117,119023,254,173,84,112,0,47
06/01/2022,FALSE,FALSE,Huyện,Thạch Thất,184590,184,188909,239,170,75,115,0,24
06/01/2022,FALSE,FALSE,Huyện,Quốc Oai,147910,148,152680,259,166,65,82,0,45
06/01/2022,FALSE,FALSE,Huyện,Chương Mỹ,232410,232,234442,244,127,72,97,4,30
06/01/2022,FALSE,FALSE,Huyện,Đan Phượng,77350,77,79034,259,171,82,129,0,38
06/01/2022,FALSE,FALSE,Huyện,Hoài Đức,82470,82,82919,251,126,73,124,0,67
06/01/2022,FALSE,FALSE,Huyện,Mỹ Đức,226200,226,229084,255,157,76,125,5,20
06/01/2022,FALSE,FALSE,Huyện,Ứng Hòa,183750,184,184233,253,167,77,96,0,50
06/01/2022,FALSE,FALSE,Huyện,Thường Tín,127390,127,128202,252,141,84,101,0,17
06/01/2022,FALSE,FALSE,Huyện,Phú Xuyên,171100,171,178791,255,155,84,149,0,35
06/01/2022,FALSE,FALSE,Huyện,Mê Linh,240555,142,243464,273,137,69,130,0,47
06/01/2022,FALSE,FALSE,Huyện,Sơn Tây,145856,113,146957,257,175,71,108,0,21
07/01/2022,TRUE,FALSE,Quận,Ba Đình,221893,92,45195,261,132,78,112,0,80
07/01/2022,TRUE,FALSE,Quận,Hoàn Kiếm,135618,53,136048,263,150,81,129,0,71
07/01/2022,TRUE,FALSE,Quận,Hai Bà Trưng,303586,101,309413,268,129,74,83,0,78
07/01/2022,TRUE,FALSE,Quận,Đống Đa,371606,99,375571,27,172,65,133,0,73
07/01/2022,TRUE,FALSE,Quận,Tây Hồ,160495,244,291577,254,160,71,116,0,53
07/01/2022,TRUE,FALSE,Quận,Cầu Giấy,292536,123,299004,273,155,72,99,0,93
07/01/2022,TRUE,FALSE,Quận,Thanh Xuân,293524,91,294969,276,178,70,102,0,75
07/01/2022,TRUE,FALSE,Quận,Hoàng Mai,506347,403,511360,261,159,79,118,0,72
07/01/2022,TRUE,FALSE,Quận,Long Biên,322549,599,328753,261,148,82,135,0,74
07/01/2022,TRUE,FALSE,Quận,Nam Từ Liêm,264246,322,264271,263,180,76,140,0,56
07/01/2022,TRUE,FALSE,Quận,Bắc Từ Liêm,335110,453,340103,254,164,66,106,0,71
07/01/2022,TRUE,FALSE,Quận,Hà Đông,397854,483,400115,255,146,65,104,0,63
07/01/2022,TRUE,FALSE,Huyện,Thanh Trì,275745,63,284468,257,138,68,138,0,41
07/01/2022,TRUE,FALSE,Huyện,Gia Lâm,286102,115,288986,247,163,65,146,0,48
07/01/2022,TRUE,FALSE,Huyện,Đông Anh,405749,182,405791,249,146,84,108,0,55
07/01/2022,TRUE,FALSE,Huyện,Sóc Sơn,343432,306,345200,264,174,82,102,0,19
07/01/2022,TRUE,FALSE,Huyện,Ba Vì,424030,424,434621,252,167,82,117,0,42
07/01/2022,TRUE,FALSE,Huyện,Phúc Thọ,117190,117,119023,254,148,73,120,0,47
07/01/2022,TRUE,FALSE,Huyện,Thạch Thất,184590,184,188909,239,148,73,91,0,24
07/01/2022,TRUE,FALSE,Huyện,Quốc Oai,147910,148,152680,259,150,73,120,0,45
07/01/2022,TRUE,FALSE,Huyện,Chương Mỹ,232410,232,234442,244,142,66,140,0,30
07/01/2022,TRUE,FALSE,Huyện,Đan Phượng,77350,77,79034,259,161,65,109,0,38
07/01/2022,TRUE,FALSE,Huyện,Hoài Đức,82470,82,82919,251,170,74,139,4,67
07/01/2022,TRUE,FALSE,Huyện,Mỹ Đức,226200,226,229084,255,179,76,106,0,20
07/01/2022,TRUE,FALSE,Huyện,Ứng Hòa,183750,184,184233,253,180,81,90,0,50
07/01/2022,TRUE,FALSE,Huyện,Thường Tín,127390,127,128202,252,171,79,102,4,17
07/01/2022,TRUE,FALSE,Huyện,Phú Xuyên,171100,171,178791,255,147,70,96,0,35
07/01/2022,TRUE,FALSE,Huyện,Mê Linh,240555,142,243464,273,138,75,127,0,47
07/01/2022,TRUE,FALSE,Huyện,Sơn Tây,145856,113,146957,257,127,83,83,0,21
08/01/2022,TRUE,FALSE,Quận,Ba Đình,221893,92,45195,261,173,67,126,0,80
08/01/2022,TRUE,FALSE,Quận,Hoàn Kiếm,135618,53,136048,263,162,73,118,5,71
08/01/2022,TRUE,FALSE,Quận,Hai Bà Trưng,303586,101,309413,268,137,72,117,0,78
08/01/2022,TRUE,FALSE,Quận,Đống Đa,371606,99,375571,27,134,77,149,4,73
08/01/2022,TRUE,FALSE,Quận,Tây Hồ,160495,244,291577,254,131,75,134,0,53
08/01/2022,TRUE,FALSE,Quận,Cầu Giấy,292536,123,299004,273,132,68,142,0,93
